Company_name,Rating,Reviews,Industry_and_Location
TCS,3.3,(1.1L),IT Services & Consulting | Bangalore / Bengaluru +438 other locations
Accenture,3.7,(71.4k),IT Services & Consulting | Bangalore / Bengaluru +255 other locations
Wipro,3.6,(63.5k),IT Services & Consulting | Hyderabad / Secunderabad +370 other locations
Cognizant,3.6,(59.8k),IT Services & Consulting | Hyderabad / Secunderabad +230 other locations
Capgemini,3.7,(51.5k),IT Services & Consulting | Bangalore / Bengaluru +183 other locations
HDFC Bank,3.8,(50.7k),Banking | Mumbai +1827 other locations
Infosys,3.5,(47.3k),IT Services & Consulting | Bangalore / Bengaluru +247 other locations
ICICI Bank,4.0,(45.1k),Banking | Mumbai +1438 other locations
HCLTech,3.4,(44.5k),IT Services & Consulting | Chennai +229 other locations
Tech Mahindra,3.4,(42.4k),IT Services & Consulting | Hyderabad / Secunderabad +332 other locations
Genpact,3.6,(40.9k),IT Services & Consulting | Hyderabad / Secunderabad +181 other locations
Teleperformance,3.8,(36.7k),BPO | Mumbai +255 other locations
Jio,4.4,(32.5k),Telecom | Mumbai +1917 other locations
Axis Bank,3.6,(32.4k),Banking | Mumbai +1505 other locations
Concentrix Corporation,3.6,(31.4k),BPO | Bangalore / Bengaluru +176 other locations
Amazon,3.9,(30.7k),Internet | Bangalore / Bengaluru +520 other locations
iEnergizer,4.6,(27.1k),BPO | Noida +51 other locations
Reliance Retail,3.9,(27k),Retail | Mumbai +1156 other locations
LTIMindtree,3.6,(25.8k),IT Services & Consulting | Bangalore / Bengaluru +145 other locations
IBM,3.9,(25.3k),IT Services & Consulting | Bangalore / Bengaluru +160 other locations
HDB Financial Services,3.9,(25.2k),NBFC | Mumbai +1090 other locations
Larsen & Toubro Limited,3.9,(23.3k),Engineering & Construction | Chennai +759 other locations
Deloitte,3.7,(22.4k),Management Consulting | Hyderabad / Secunderabad +187 other locations
Kotak Mahindra Bank,3.6,(21.9k),Banking | Mumbai +684 other locations
Reliance Industries,4.0,(19.8k),Oil & Gas | Jamnagar +814 other locations
Vodafone Idea,3.9,(17.4k),Telecom | Pune +702 other locations
Bharti Airtel,3.8,(16.8k),Telecom | Gurgaon / Gurugram +790 other locations
BYJU'S,3.2,(16.4k),EdTech | Bangalore / Bengaluru +322 other locations
WNS,3.3,(14.8k),IT Services & Consulting | Pune +65 other locations
IDFC FIRST Bank,3.9,(14k),Banking | Mumbai +715 other locations
Tata Motors,4.1,(14k),Automobile | Pune +506 other locations
Ernst & Young,3.4,(14k),Management Consulting | Bangalore / Bengaluru +132 other locations
IndusInd Bank,3.4,(13.9k),Banking | Mumbai +791 other locations
AU Small Finance Bank,3.9,(13.8k),Banking | Jaipur +785 other locations
Bajaj Finserv,3.9,(12.7k),NBFC | Pune +1168 other locations
Flipkart,3.9,(12.6k),Internet | Bangalore / Bengaluru +558 other locations
Muthoot FinCorp,4.5,(12.3k),NBFC | Bangalore / Bengaluru +1098 other locations
PwC,3.3,(12.1k),Management Consulting | Bangalore / Bengaluru +132 other locations
